id,location,coordinates,user_key
2540882036.0,US,"(17.789187, -64.7080574)",heyits_toby
2541215075.0,Санкт-Петербург,"(59.938732, 30.316229)",GvardeykaLena
2541945841.0,Atlanta,"(33.7489924, -84.3902644)",mr_clampin
2547141851.0,"Chicago, IL","(41.8755616, -87.6244212)",ChicagoDailyNew
2559217373.0,Москва,"(55.625578, 37.6063916)",AlexsVladimirov
2559850571.0,"Москва, Россия","(55.625578, 37.6063916)",LapinOlegg
2563274242.0,Москва,"(55.625578, 37.6063916)",SovetnikStatski
2568897527.0,Москва,"(55.625578, 37.6063916)",Sergbriantsev
2569229674.0,New - York,"(40.7127281, -74.0060152)",LoraGreeen
2570017414.0,"Memphis, TN","(35.1460249, -90.0517638)",OnlineMemphis
2570250275.0,USA,"(39.7837304, -100.445882)",Aiden7757
2570631118.0,United States,"(39.7837304, -100.445882)",Politweecs
2571870453.0,"Detroit, Michigan","(42.3315509, -83.0466403)",DetroitDailyNew
2571997365.0,USA,"(39.7837304, -100.445882)",toneporter
2572058134.0,USA,"(39.7837304, -100.445882)",LeroyLovesUSA
2572092279.0,US,"(17.789187, -64.7080574)",hipppo_
2574715662.0,Russia,"(40.2338211, -84.4096729)",mihanovikov
2575046530.0,"Ростов-на-Дону, Россия","(47.2216548, 39.7096061)",GlebNikon
2575471053.0,Санкт-Петербург ,"(59.938732, 30.316229)",Sergeev_Tolik
2578226850.0,Россия,"(64.6863136, 97.7453061)",BorisEleseev
2578422308.0,"Тула, Тульская область","(54.1930321, 37.61754)",russianallies
2579342751.0,USA,"(39.7837304, -100.445882)",RealRobert1987
2584152521.0,Montgomery,"(32.3669656, -86.3006485)",queenofthewo
2586491520.0,"Москва, Россия","(55.625578, 37.6063916)",Bocharnikov_V
2586506586.0,Москва,"(55.625578, 37.6063916)",AlexHarritonov
2587100717.0,USA,"(39.7837304, -100.445882)",JudeLambertUSA
2587843805.0,"Kansas City, MO","(39.100105, -94.5781416)",KansasDailyNews
2589353987.0,USA,"(39.7837304, -100.445882)",CassieWeltch
2590038478.0,USA,"(39.7837304, -100.445882)",PatriotRaphael
2601235821.0,"Pittsburgh, PA","(40.4416941, -79.9900861)",TodayPittsburgh
2604334823.0,USA,"(39.7837304, -100.445882)",JarrardNorman
2606301939.0,USA,"(39.7837304, -100.445882)",finley1589
2616344667.0,United States,"(39.7837304, -100.445882)",AmandaVGreen
2620614029.0,"Philadelphia, PA","(39.9527237, -75.1635262)",PhiladelphiaON
2620869737.0,USA,"(39.7837304, -100.445882)",pureDavie
2624554209.0,"Los Angeles, CA","(34.0536909, -118.242766)",DailyLosAngeles
2668171329.0,USA,"(39.7837304, -100.445882)",brightandglory
2671070290.0,USA,"(39.7837304, -100.445882)",PatriotBlake
2732675512.0,arkansas,"(35.2048883, -92.4479108)",BGarner2107
2742482932.0,Boston,"(42.3554334, -71.060511)",cascaseyp
2743327187.0,"Washington, D.C.","(38.8950368, -77.0365427)",WashingtOnline
2752677905.0,"New York, NY","(40.7127281, -74.0060152)",TodayNYCity
2753146444.0,"City of Cleveland, USA","(33.75506365, -90.751475046553)",OnlineCleveland
2753211010.0,"City of Phoenix, Arizona","(33.4484367, -112.074141)",PhoenixDailyNew
2753338899.0,"City of San Antonio, TX","(29.411883449999998, -98.50103956168861)",SanAntoTopNews
2882013788.0,"Pittsburgh, US","(40.4416941, -79.9900861)",GiselleEvns
2882037326.0,USA,"(39.7837304, -100.445882)",DanaGeezus
2882331822.0,USA,"(39.7837304, -100.445882)",Jenn_Abrams
2882350436.0,USA,"(39.7837304, -100.445882)",ChrixMorgan
